#,Level ( mm ), Moisture Sensor 2( % ), Moisture Sensor 3( % ),Date
1,7,-11,14,2021-08-26 18:06:25
2,7,-11,14,2021-08-26 18:07:25
3,6,-11,14,2021-08-26 18:08:25
4,7,-11,14,2021-08-26 18:09:25
5,7,-11,14,2021-08-26 18:10:25
6,8,-11,14,2021-08-26 18:11:25
7,7,-11,14,2021-08-26 18:12:25
8,7,-11,14,2021-08-26 18:13:26
9,8,-11,14,2021-08-26 18:14:26
10,7,-11,14,2021-08-26 18:15:26
11,7,-11,14,2021-08-26 18:16:26
12,7,-11,14,2021-08-26 18:17:26
13,7,-11,14,2021-08-26 18:18:26
14,7,-11,14,2021-08-26 18:19:27
15,8,-11,14,2021-08-26 18:20:27
16,7,-11,14,2021-08-26 18:21:27
17,8,-11,14,2021-08-26 18:22:27
18,7,-11,14,2021-08-26 18:23:27
19,8,-11,14,2021-08-26 18:24:27
20,7,-11,14,2021-08-26 18:25:27
21,8,-11,14,2021-08-26 18:26:27
22,8,-11,14,2021-08-26 18:27:28
23,6,-11,14,2021-08-26 18:28:28
24,8,-11,14,2021-08-26 18:29:28
25,7,-11,14,2021-08-26 18:30:28
26,8,-11,14,2021-08-26 18:31:28
27,8,-11,14,2021-08-26 18:32:28
28,6,-11,14,2021-08-26 18:33:28
29,7,-11,14,2021-08-26 18:34:28
30,7,-11,14,2021-08-26 18:35:29
31,7,-11,14,2021-08-26 18:36:29
32,6,-11,14,2021-08-26 18:37:29
33,5,-11,14,2021-08-26 18:38:29
34,6,-11,14,2021-08-26 18:39:29
35,5,-11,14,2021-08-26 18:40:29
36,6,-11,14,2021-08-26 18:41:29
37,5,-11,14,2021-08-26 18:42:30
38,5,-11,14,2021-08-26 18:43:30
39,3,-11,14,2021-08-26 18:44:30
40,4,-11,14,2021-08-26 18:45:30
41,6,-11,14,2021-08-26 18:46:30
42,11,-11,14,2021-08-26 18:47:30
43,12,-11,14,2021-08-26 18:48:31
44,12,-11,14,2021-08-26 18:49:31
45,11,-11,14,2021-08-26 18:50:31
46,12,-11,14,2021-08-26 18:51:31
47,10,-11,14,2021-08-26 18:52:31
48,9,-11,14,2021-08-26 18:53:31
49,9,-11,14,2021-08-26 18:54:31
50,9,-11,14,2021-08-26 18:55:31
51,9,-11,14,2021-08-26 18:56:31
52,9,-11,14,2021-08-26 18:57:32
53,10,-11,14,2021-08-26 18:58:32
54,10,-11,14,2021-08-26 18:59:32
55,9,-11,14,2021-08-26 19:00:32
56,10,-11,14,2021-08-26 19:01:32
57,10,-11,14,2021-08-26 19:02:32
58,9,-11,14,2021-08-26 19:03:32
59,11,-11,14,2021-08-26 19:04:33
60,13,-11,14,2021-08-26 19:05:33
61,12,-11,14,2021-08-26 19:06:33
62,11,-11,14,2021-08-26 19:07:33
63,14,-11,14,2021-08-26 19:08:33
64,12,-11,14,2021-08-26 19:09:33
65,6,-11,14,2021-08-26 19:10:34
66,4,-11,14,2021-08-26 19:11:33
67,4,-11,14,2021-08-26 19:12:34
68,3,-11,14,2021-08-26 19:13:34
69,4,-11,14,2021-08-26 19:14:34
70,4,-11,14,2021-08-26 19:15:34
71,5,-11,14,2021-08-26 19:16:34
72,6,-11,14,2021-08-26 19:17:35
73,5,-11,14,2021-08-26 19:18:34
74,6,-11,14,2021-08-26 19:19:35
75,6,-11,14,2021-08-26 19:20:35
76,7,-11,14,2021-08-26 19:21:35
77,7,-11,14,2021-08-26 19:22:35
78,7,-11,14,2021-08-26 19:23:35
79,6,-11,14,2021-08-26 19:24:35
80,7,-11,14,2021-08-26 19:25:36
81,7,-11,14,2021-08-26 19:26:36
82,7,-11,14,2021-08-26 19:27:36
83,6,-11,14,2021-08-26 19:28:36
84,6,-11,14,2021-08-26 19:29:36
85,6,-11,14,2021-08-26 19:30:36
86,6,-11,14,2021-08-26 19:31:36
87,7,-11,14,2021-08-26 19:32:36
88,7,-11,14,2021-08-26 19:33:37
89,6,-11,14,2021-08-26 19:34:37
90,6,-11,14,2021-08-26 19:35:37
91,7,-11,14,2021-08-26 19:36:37
92,7,-11,14,2021-08-26 19:37:37
93,7,-11,14,2021-08-26 19:38:37
94,7,-11,14,2021-08-26 19:39:37
95,8,-11,14,2021-08-26 19:40:37
96,6,-11,14,2021-08-26 19:41:38
97,6,-11,14,2021-08-26 19:42:38
98,6,-11,14,2021-08-26 19:43:38
99,7,-11,14,2021-08-26 19:44:38
100,7,-11,14,2021-08-26 19:45:38
101,7,-11,14,2021-08-26 19:46:38
